"Row.names","baseMean","log2FoldChange","pvalue","padj","I10","I2","I4","I5","I6","I7","I8","I9","IC10","IC2","IC4","IC5","IC6","IC7","IC8","IC9","MC10","MC2","MC4","MC5","MC6","MC7","MC8","MC9"
"ENSG00000005469.11_CROT",934.10725025171,-0.673183542187695,6.24346564549568e-05,0.00980867762594934,806.595534300461,1042.6672205057,916.514789110248,551.900015099479,854.618365786043,802.076737297374,606.973198066426,607.758471125079,937.381836505589,1045.85306360278,726.322652227025,530.5898813483,961.19550320784,919.387716139362,569.195095258581,671.756443689156,1213.57131809652,1582.36980317019,1334.68767878027,1064.45948490472,1469.02868284895,1057.53810661473,898.802294717055,1247.33011363916
"ENSG00000005884.17_ITGA3",14391.9689486658,0.527933624824782,0.000951941385364477,0.0736377399572044,12361.9052571967,15783.5381525016,22105.5153085754,17549.5479109696,19184.4330930193,9490.7444417009,19003.9912660343,16854.3877237577,12292.5089972065,16609.8074159996,16901.3980851345,16243.4972447857,18399.6030846256,10529.9823482038,13254.8771526257,17060.0787397284,8455.21000313151,12806.4889078095,12879.0818415635,13174.1512225845,12706.6932916359,8861.63014830178,11539.4953545634,11358.6877763233
"ENSG00000006118.14_TMEM132A",5206.06545200623,-0.698629455805843,0.000170513642880131,0.0211256699500026,3371.12736322015,5018.79978379936,4578.25076258374,4708.60151222224,3034.6448637736,4212.14524493962,4648.8629033724,3350.65440823424,4034.7238864058,7625.20659376924,4644.00672779428,5204.66784927839,4291.15763351611,4392.03330506308,4702.00000829931,3696.38880163775,5624.20674796536,10390.3611209763,7334.23964663077,8825.74365712289,4533.92808423681,5641.83712961093,6868.22588782046,4213.75692587659
"ENSG00000011007.12_TCEB3",2611.28324968254,0.684524177024061,8.53270891191992e-06,0.00232196341265621,2957.88526756484,3167.14616467603,3568.78753967222,3153.24692421461,2814.74306205087,1945.0609354287,3240.72752953648,3600.78267568501,3166.21970493621,3073.13292405664,3218.29666236144,2925.22579322286,2809.19057284273,1838.77543227872,2545.89325909279,3430.22115413828,1676.12104179725,1950.7744936259,2099.0798869706,1753.85416631948,1863.94821240847,1135.96503456762,2296.01235843034,2439.70719650286
"ENSG00000011347.9_SYT7",110.037087841295,1.25191107340125,0.00038247471439691,0.0378305628557542,55.2462694726343,251.473777869408,164.280952765045,205.053760550795,192.913853329481,62.6156560715422,144.315305833975,94.7294289494432,47.3533878372513,147.464566120584,183.902666420653,195.480482602005,126.969065439219,92.8596942010541,93.9759256712103,91.0270309630245,12.9314976518482,72.5006942315591,93.7770754698552,74.5867506940242,75.5654680706135,66.1727204602498,54.2200920246947,41.4739854909113
"ENSG00000018510.12_AGPS",1553.50813762255,-0.411260040019669,0.000348632427039724,0.0351841692427706,1404.36016999436,1756.75785388959,1266.69260947784,1492.09332145472,1322.40947126893,1303.99588517243,1403.89080601728,1166.55566436618,1647.68265406436,1691.5474259366,1091.34158103166,1494.0294027439,1503.78986879575,1396.73259046214,1396.82398611299,1167.22002994359,2011.3452501567,2397.58109761109,1521.15139860986,1770.90256647812,1845.05684539081,1887.14795386638,1887.27628009034,1457.81059000553
"ENSG00000028839.9_TBPL1",650.948249457888,-0.383946802185523,2.97733430012654e-05,0.00589241524670497,590.030157967735,556.326423682793,620.376755836418,547.537169130314,511.771465827432,491.980154847832,535.8766871041,743.99854871529,625.279962123705,662.874700134277,673.380975530171,669.055223191387,543.586311411658,574.809181459417,593.756984922647,679.822129977018,721.179676737688,760.414258103096,789.472123722967,779.96430725751,635.109767355395,690.524592210199,713.202748940215,912.427680800049
"ENSG00000029993.14_HMGB3",2402.12639771831,0.733575058918449,0.00128654381725854,0.0907668575518651,2423.10137906974,5060.31668108912,2445.84076386379,3641.88567276119,2264.98855774406,2123.96280991882,3029.56028055882,2056.37367112724,2058.7961575605,4455.43426958503,2011.78371448048,3410.43627682427,1789.470266034,1892.49591652727,3452.54736017071,1675.35826607896,1475.1854628993,2325.92343470781,1402.29440760737,1847.62036719197,1223.44091161946,1919.00889334724,2024.91189830687,1640.29612616554
"ENSG00000035928.14_RFC1",1110.45734833019,0.381609676718349,0.000624867677633896,0.0537986358161748,1050.78404536951,1088.92890605715,1224.54157554471,1595.71091322241,1157.48311997689,1192.67916326747,1136.48303344256,1218.71006906868,915.857569306838,1170.41051265609,1105.27360121504,1644.13048759901,1259.77119615475,1088.99095926691,1122.3715668232,1257.09482000835,856.463036787792,817.740388425724,908.329114725458,972.824334052058,831.220148776749,878.626677222205,1092.74339311308,1063.80772784188
"ENSG00000040531.14_CTNS",579.483531630978,0.883150916031222,5.37710806926004e-05,0.00881094084596277,661.850308282159,1094.85989138426,689.547683316437,744.955949235068,667.701834321727,470.114370187928,848.913563729267,499.19215929538,615.594041884267,833.962230730489,504.339130638459,766.79546449239,595.16749424634,386.02005110025,872.481037197487,576.120449133066,409.829002504727,461.981167894121,417.63511517389,502.927804679706,291.466805415224,184.425822764215,531.773979472967,279.949402063651
